"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies, Inc.","Healthcare","Diagnostics & Research","USA",40054.81,34.44,135.71,-0.51%,1403631
2,"AA","Alcoa Corporation","Basic Materials","Aluminum","USA",16696.26,42.28,91.96,-3.26%,6034873
3,"AAAU","Goldman Sachs Physical Gold ETF","Financial","Exchange Traded Fund","USA",,,19.42,-0.41%,639021
4,"AAC","Ares Acquisition Corporation","Financial","Shell Companies","USA",1221.23,77.01,9.78,-0.10%,3176
5,"AADI","Aadi Bioscience, Inc.","Healthcare","Biotechnology","USA",382.95,,17.82,-3.10%,71231
6,"AAL","American Airlines Group Inc.","Industrials","Airlines","USA",10910.38,,17.01,1.73%,39457270
7,"AAN","The Aaron's Company, Inc.","Industrials","Rental & Leasing Services","USA",676.62,6.77,21.89,2.29%,238403
8,"AAON","AAON, Inc.","Industrials","Building Products & Equipment","USA",2642.30,47.71,52.24,-1.30%,191084
9,"AAP","Advance Auto Parts, Inc.","Consumer Cyclical","Specialty Retail","USA",13288.35,22.62,215.58,0.42%,802929
10,"AAPL","Apple Inc.","Technology","Consumer Electronics","USA",2792907.96,29.01,174.72,0.37%,80430226
11,"AAQC","Accelerate Acquisition Corp.","Financial","Shell Companies","USA",389.20,,9.73,0.00%,10122
12,"AAT","American Assets Trust, Inc.","Real Estate","REIT - Diversified","USA",2238.35,78.01,36.90,2.33%,255749
13,"AAWW","Atlas Air Worldwide Holdings, Inc.","Industrials","Airports & Air Services","USA",2499.44,5.53,88.79,0.49%,636006
14,"AAXJ","iShares MSCI All Country Asia ex Japan ETF","Financial","Exchange Traded Fund","USA",,,75.10,-1.07%,1003627
15,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",4529.20,11.88,46.08,0.79%,153660
16,"ABB","ABB Ltd","Industrials","Specialty Industrial Machinery","Switzerland",70101.52,15.02,34.61,-0.49%,2250763
17,"ABBV","AbbVie Inc.","Healthcare","Drug Manufacturers - General","USA",284260.24,25.01,161.33,0.66%,5128638
18,"ABC","AmerisourceBergen Corporation","Healthcare","Medical Distribution","USA",32393.63,20.09,154.69,1.36%,760618
19,"ABCB","Ameris Bancorp","Financial","Banks - Regional","USA",3157.93,8.32,44.94,0.65%,480128
20,"ABCL","AbCellera Biologics Inc.","Healthcare","Biotechnology","Canada",2705.54,19.92,9.54,-1.75%,2501236
21,"ABCM","Abcam plc","Healthcare","Biotechnology","United Kingdom",4022.92,820.00,18.04,0.11%,96055
22,"ABG","Asbury Automotive Group, Inc.","Consumer Cyclical","Auto & Truck Dealerships","USA",4092.75,6.49,172.69,-0.74%,208978
23,"ABM","ABM Industries Incorporated","Industrials","Specialty Business Services","USA",3094.86,24.08,44.99,0.85%,346319
24,"ABMD","Abiomed, Inc.","Healthcare","Medical Devices","USA",14671.67,110.15,318.88,-0.81%,204078
25,"ABNB","Airbnb, Inc.","Consumer Cyclical","Travel Services","USA",101417.26,,167.22,-2.11%,2955437
26,"ABOS","Acumen Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",201.49,,5.14,-9.35%,194198
27,"ABR","Arbor Realty Trust, Inc.","Real Estate","REIT - Mortgage","USA",2666.33,8.24,17.17,-0.29%,1896124
28,"ABSI","Absci Corporation","Healthcare","Biotechnology","USA",758.30,,7.70,-7.56%,591595
29,"ABST","Absolute Software Corporation","Technology","Software - Application","Canada",566.24,,8.43,-0.24%,85656
30,"ABT","Abbott Laboratories","Healthcare","Medical Devices","USA",207624.84,30.08,118.95,0.96%,2896237
31,"ABTX","Allegiance Bancshares, Inc.","Financial","Banks - Regional","USA",927.88,11.35,45.44,2.20%,122766
32,"ACA","Arcosa, Inc.","Industrials","Infrastructure Operations","USA",2833.16,40.86,58.14,1.15%,208995
33,"ACABU","Atlantic Coastal Acquisition Corp. II","Financial","Shell Companies","USA",,,10.00,-0.10%,1711
34,"ACAD","ACADIA Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",4075.18,,26.89,-0.96%,1056122
35,"ACAQ","Athena Consumer Acquisition Corp.","Financial","Shell Companies","USA",171.98,,9.97,-0.20%,2732
36,"ACAXU","Alset Capital Acquisition Corp. Unit","Financial","Shell Companies","USA",,,10.09,0.50%,164263
37,"ACC","American Campus Communities, Inc.","Real Estate","REIT - Residential","USA",7710.52,242.72,55.34,1.71%,435344
38,"ACCD","Accolade, Inc.","Healthcare","Health Information Services","USA",1041.93,,15.83,-5.38%,376965
39,"ACCO","ACCO Brands Corporation","Industrials","Business Equipment & Supplies","USA",788.86,7.86,8.19,0.00%,377136
40,"ACEL","Accel Entertainment, Inc.","Consumer Cyclical","Gambling","USA",1160.87,38.62,12.86,-1.61%,96677
41,"ACES","ALPS Clean Energy ETF","Financial","Exchange Traded Fund","USA",,,62.07,-1.55%,29961
42,"ACET","Adicet Bio, Inc.","Healthcare","Biotechnology","USA",691.78,,17.20,0.64%,184826
43,"ACEV","ACE Convergence Acquisition Corp.","Financial","Shell Companies","USA",140.10,49.51,10.05,0.00%,23419
44,"ACGL","Arch Capital Group Ltd.","Financial","Insurance - Diversified","Bermuda",18329.11,9.11,47.67,1.15%,2332780
45,"ACGLN","Arch Capital Group Ltd.","Financial","Insurance - Diversified","Bermuda",,4.12,20.44,-1.14%,76375
46,"ACH","Aluminum Corporation of China Limited","Basic Materials","Aluminum","China",13996.26,18.33,15.07,-3.27%,87878
47,"ACHC","Acadia Healthcare Company, Inc.","Healthcare","Medical Care Facilities","USA",5974.91,29.45,65.89,1.71%,505343
48,"ACHR","Archer Aviation Inc.","Industrials","Aerospace & Defense","USA",1141.06,,5.11,2.61%,2202021
49,"ACI","Albertsons Companies, Inc.","Consumer Defensive","Grocery Stores","USA",16259.82,19.06,32.88,-7.90%,6909721
50,"ACII","Atlas Crest Investment Corp. II","Financial","Shell Companies","USA",420.62,,9.77,-0.15%,25170
51,"ACIO","Aptus Collared Income Opportunity ETF","Financial","Exchange Traded Fund","USA",,,31.43,0.35%,40191
